Problem,Problem Detail,problem_family
Noise - Residential,Loud Music/Party,Ruido
Cannabis Retailer,Too Close to a School,Otros
Illegal Parking,Blocked Crosswalk,Tráfico / Estacionamiento
Noise - Commercial,Loud Music/Party,Ruido
Illegal Animal Sold,Other,Otros
Street Condition,Pothole,Infraestructura vial
Noise - Street/Sidewalk,Loud Talking,Ruido
Blocked Driveway,No Access,Tráfico / Estacionamiento
Homeless Person Assistance,Chronic,Otros
Dead Animal,Rat or Mouse,Otros
Noise - Vehicle,Car/Truck Horn,Ruido
Encampment,,Otros
Abandoned Vehicle,With License Plate,Otros
Rodent,Rat Sighting,Plagas / Roedores
Violation of Park Rules,BBQ Outside Authorized Area,Árboles / Parques
Non-Emergency Police Matter,Trespassing,Otros
Noise - Park,Loud Music/Party,Ruido
Illegal Tree Damage,Trunk Damaged,Árboles / Parques
Unsanitary Animal Pvt Property,Dog,Otros
Drug Activity,Use Indoor,Otros
Dirty Condition,Trash,Saneamiento
Outdoor Dining,Restaurant Status,Otros
Illegal Dumping,Removal Request,Otros
Lost Property,Electronics/Phones,Otros
Taxi Complaint,Driver Complaint - Passenger,Otros
Street Light Condition,Multiple Street Lights Out,Infraestructura vial
Food Establishment,Rodents/Insects/Garbage,Otros
Abandoned Bike,Chained to Public Property,Otros
Root/Sewer/Sidewalk Condition,Trees and Sidewalks Program,Infraestructura vial
Obstruction,Cone,Otros
Maintenance or Facility,Rodent Sighting,Otros
Urinating in Public,,Otros
Highway Condition,Cave-in,Otros
Street Sign - Dangling,"No Parking, Standing, Stopping",Infraestructura vial
Broken Parking Meter,Missing/Stump,Árboles / Parques
Damaged Tree,Branch Cracked and Will Fall,Árboles / Parques
Vendor Enforcement,Non-Food Vendor,Otros
Panhandling,,Otros
Sidewalk Condition,Broken Sidewalk,Infraestructura vial
Traffic Signal Condition,Pedestrian Signal,Otros
Taxi Report,Driver Report - Non Passenger,Otros
Green Taxi Complaint,Driver Complaint - Passenger,Otros
Street Sign - Missing,Other/Unknown,Infraestructura vial
Noise,Noise: Construction Before/After Hours (NM1),Ruido
Water System,Hydrant Leaking (WC1),Agua / Alcantarillado
Water Conservation,"Wasting Faucets,Sinks,Flushometer,Urinal,Etc. - Private Residence (CWR)",Agua / Alcantarillado
Sewer,Sewer Backup (Use Comments) (SA),Agua / Alcantarillado
For Hire Vehicle Complaint,Car Service Company Complaint,Otros
GENERAL,VENTILATION SYSTEM,Otros
Taxi Compliment,Driver Compliment,Otros
Graffiti,Graffiti,Graffiti
HEAT/HOT WATER,APARTMENT ONLY,Calefacción / Agua Caliente
Consumer Complaint,Gaming Cafe,Otros
Asbestos,Asbestos Complaint (B1),Otros
Lead,Lead Kit Request (Residential) (L10),Otros
UNSANITARY CONDITION,PESTS,Otros
Traffic,Drag Racing,Otros
Missed Collection,Bulky Trash,Otros
Illegal Fireworks,,Otros
Air Quality,"Air: Odor/Fumes, Vehicle Idling (AD3)",Otros
DOOR/WINDOW,DOOR,Otros
APPLIANCE,REFRIGERATOR,Otros
ELECTRIC,POWER OUTAGE,Otros
PAINT/PLASTER,WALL,Otros
PLUMBING,BASIN/SINK,Otros
Smoking or Vaping,Allowed in Smoke Free Area,Otros
Mobile Food Vendor,Permit/License/Certificate,Otros
Animal-Abuse,Neglected,Otros
Bike/Roller/Skate,,Otros
WATER LEAK,DAMP SPOT,Agua / Alcantarillado
FLOORING/STAIRS,FLOOR,Otros
Indoor Air Quality,Ventilation,Otros
Overgrown Tree/Branches,Dead Branches in Tree,Árboles / Parques
Water Quality,Clear Water With Other Particles (Use Comments) (QEZ),Agua / Alcantarillado
Residential Disposal Complaint,Waste Set Out Too Early or Too Late,Otros
SAFETY,WINDOW GUARD BROKEN/MISSING,Otros
Curb Condition,Defacement,Otros
Litter Basket Complaint,Overflowing,Saneamiento
Sanitation Worker or Vehicle Complaint,Spilled Garbage,Saneamiento
Unleashed Dog,Unleashed Dog in Public,Otros
Street Sign - Damaged,Other/Unknown,Infraestructura vial
Dead/Dying Tree,Planted More Than 2 Years Ago,Árboles / Parques
Day Care,Day Care Facility,Otros
Noise - Helicopter,Other,Ruido
Bus Stop Shelter Complaint,Broken Glass,Otros
Illegal Posting,Poster or Sign,Otros
Drinking,In Public,Otros
General Construction/Plumbing,Vent/Exhaust - Illegal/Improper,Otros
Animal in a Park,Dog Off Leash,Árboles / Parques
Real Time Enforcement,Work Without A Permit - Occupied Multiple Dwelling,Otros
Uprooted Stump,Remove Stump,Otros
Construction Lead Dust,Coming into Apartment,Otros
New Tree Request,For One Address,Árboles / Parques
Elevator,Elevator - Single Device On Property/No Alternate Service,Otros
Building/Use,Illegal Conversion Of Residential Building/Space,Otros
Derelict Vehicles,Derelict Vehicles,Otros
Special Projects Inspection Team (SPIT),Illegal Hotel Rooms In Residential Building,Otros
Wood Pile Remaining,Remove Debris,Otros
Industrial Waste,Wastewater Into Catch Basin (IEB),Otros
Plumbing,Plumbing-Defective/Leaking/Not Maintained,Otros
Emergency Response Team (ERT),After Hours Work - Illegal,Otros
Hazardous Materials,"Unsafe Chemical, Abandoned (HC2)",Otros
Lot Condition,Trash,Otros
Standing Water,Swimming Pool - Unmaintained,Agua / Alcantarillado
Electrical,Electrical Wiring Defective/Exposed,Otros
Boilers,Boiler - Defective/Inoperative/No Permit,Otros
Food Poisoning,1 or 2,Otros
Noise - House of Worship,Loud Music/Party,Ruido
Unsanitary Pigeon Condition,Pigeon Waste,Otros
Harboring Bees/Wasps,Bees/Wasps - Not a beekeper,Otros
Street Sweeping Complaint,Street Not Swept,Infraestructura vial
Litter Basket Request,Replacement Basket,Saneamiento
Bridge Condition,Rough Pavement,Otros
Scaffold Safety,Suspended (Hanging) Scaffolds - No Pmt/Lic/Dangerous/Accident,Otros
Commercial Disposal Complaint,Waste Disposal,Otros
E-Scooter,Improperly Parked or Abandoned,Otros
Non-Residential Heat,Inadequate or No Heat,Calefacción / Agua Caliente
Cooling Tower,Unsanitary Condition,Otros
Investigations and Discipline (IAD),Plumbing Work - Unlicensed/Illegal/Improper Work In Progress,Otros
Bike Rack,Abandoned Bike,Otros
Illegal Animal Kept as Pet,Rooster,Otros
OUTSIDE BUILDING,ROOFING,Otros
Poison Ivy,,Otros
Mold,Public Complaint - Comm Location,Otros
Ferry Complaint,General Complaint,Otros
ELEVATOR,MAINTENANCE,Otros
Dumpster Complaint,Blocking Sidewalk or Street,Otros
Indoor Sewage,Sewage Leak,Otros
Bus Stop Shelter Placement,New Bus Stop Shelter Placement,Otros
Ferry Inquiry,Lost and Found,Otros
Cranes and Derricks,Crane/Suspension Scaffold - No Permit/License/Cert./Unsafe/Illegal,Otros
Wayfinding,Broken/Cracked/Damaged Glass,Otros
Drinking Water,Illness Caused by Drinking Water,Agua / Alcantarillado
BEST/Site Safety,Safety Netting/Guard Rails - Damaged/Inadequate/None (Over 6 Stories/75 Feet),Otros
Plant,Plants- Odor Related Problems (PO1),Otros
